"","Vacc_scenario","Year","sample","Age <1","Age 1-5","Age 6-14","Age 15-19","Age 20-49","Age 50+"
"3110",53,"2011","16747",143993.47479322,697586.578122708,1553215.89792652,1508068.99508732,4209476.21764349,625687.821357076
"3111",53,"2011","18031",160972.14415524,762728.489057722,1696728.81526171,2018788.8802738,5621578.46359989,424369.401666992
"3112",53,"2011","18178",231379.558176411,1120853.43925984,2521821.05530577,2265685.395483,6538131.91139977,1257167.86184847
"3113",53,"2011","184",458243.045776284,2327761.25175554,5362000.57910632,2744036.95755417,7978796.63441374,1898975.97997533
"3114",53,"2011","18445",200731.487089349,1020914.23008729,2330524.41212972,1462168.37434881,4118633.56090639,933486.505520847
"3115",53,"2011","18956",168486.7062761,840580.011928615,1904677.0698196,1471985.27777968,4067991.79061168,556922.698473392
"3116",53,"2011","19650",35047.4052483275,192632.458325491,385983.187305671,232443.738573663,626900.418367113,150379.740155074
"3117",53,"2011","20140",200095.229086373,1005372.52279414,2289285.73690637,1560573.60699282,4401491.64880245,936381.2228246
"3118",53,"2011","20381",87785.4883409328,403232.6014233,842881.426355702,1418534.39183601,4129504.22749862,1077331.6432518
"3119",53,"2011","21347",215680.617839927,1043118.67912511,2348020.83010725,2145197.62403855,6141066.29604645,1049884.4725505
"3120",53,"2011","26626",120449.8834289,579707.561435178,1272072.81013309,1216467.55640824,3449281.09798936,812202.170135632
"3121",53,"2011","27986",223591.680788107,1121180.54962976,2551494.25056203,1695200.29522472,4855577.39700756,1269746.49290402
"3122",53,"2011","28715",172720.670383596,849061.787045153,1914999.10257157,1636775.50026951,4541908.39886726,578724.91060554
"3123",53,"2011","28884",107653.75604395,539255.462680224,1188495.43432587,955767.978401803,2639782.82461146,505522.037907866
"3124",53,"2011","31423",74473.6745535102,364309.746518385,771325.279659968,770234.352503548,2175598.29186381,565998.624711913
"3125",53,"2011","3183",74740.9419401326,378006.849618715,814791.037632103,633672.505535178,1761459.05401929,437810.013301034
"3126",53,"2011","33141",232108.594960184,1277646.17776619,3010303.1676668,1092495.47056159,2965013.84396963,612623.854938727
"3127",53,"2011","34172",199630.060113503,963805.352300552,2155620.15225257,1854419.1499289,5404397.55865293,1518689.09575031
"3128",53,"2011","36307",225961.112071071,1137820.60133417,2593699.84247845,1761746.78749223,4997858.92007274,1036158.59879741
"3129",53,"2011","36565",183170.508244629,919172.805073995,2078722.54050238,1430132.63760953,4083108.79179842,1099361.90965595
"3130",53,"2011","36737",185618.374121592,962780.559705664,2214168.81997917,1264235.69378813,3463301.46319373,557325.278783905
"3131",53,"2011","36892",218382.555259159,1079115.11760558,2440678.43422667,1787347.55679708,5129489.53797596,1266177.29584526
"3132",53,"2011","37080",218571.334762349,1108153.50095164,2542107.18040075,1655648.75731176,4586940.04902312,644161.296864229
"3133",53,"2011","37398",198036.753542752,1025634.7211618,2343770.70449878,1179380.11351276,3398848.16604488,1348625.821598
"3134",53,"2011","38080",165252.697196012,836672.245895605,1890753.94458737,1241229.96372874,3504856.06570023,890659.398897103
"3135",53,"2011","38399",183964.188962865,887301.61799519,1977485.60695872,1979008.0470659,5712819.10949773,1182835.06985886
"3136",53,"2011","38870",247449.434702023,1285937.12310079,2987467.20261492,1664178.39998737,4509680.65584288,328819.719421904
"3137",53,"2011","39204",284403.680485733,1390598.02705421,3156367.05789219,2584566.99229102,7497991.67808478,1312314.38498715
"3138",53,"2011","40145",670526.929195063,3579188.93884861,8357545.59441398,2718764.15090879,7670410.76560606,1072992.7293816
"3139",53,"2011","41477",432518.424416968,2189417.94241183,5050122.9990136,2709753.30392705,7791426.35508521,1374550.21985497
"3140",53,"2011","421",280141.632916443,1414791.96021451,3249697.11580227,2159497.87312001,6113308.94971653,946180.956363135
"3141",53,"2011","42552",449443.014102894,2349634.49700414,5437297.24092523,2206564.02189843,6281004.10101392,1220554.91392225
"3142",53,"2011","42933",487872.157140829,2573391.25737531,6006325.58583499,2523359.09472273,7107690.9649858,977980.97386923
"3143",53,"2011","45288",56399.0459821022,289159.332999778,605703.322329374,492081.157753399,1365483.13320837,337222.42815116
"3144",53,"2011","45942",330710.469650794,1749938.12880511,4082874.71366124,1498217.67994374,4137072.25172598,859740.799577947
"3145",53,"2011","46802",323796.674593573,1629151.19380042,3743371.30921307,2425965.2980585,6922958.72289088,1084237.21984651
"3146",53,"2011","47224",292321.985212872,1502574.76522696,3463860.52505239,1881269.9307828,5356286.4144516,1319236.65065494
"3147",53,"2011","47367",286579.73088812,1478262.89038429,3422923.47991771,1923455.30183743,5376959.32532511,848027.286547479
"3148",53,"2011","5011",112940.260226301,578981.132603454,1301416.45639347,889756.50550084,2397274.44553646,309443.20129261
"3149",53,"2011","506",125196.056929965,657365.050136603,1495821.29076156,831459.405353367,2257535.57754531,408202.965719248
"3150",53,"2011","51542",34472.976838374,189279.200453225,374540.787009352,259950.628544427,688166.605666057,117739.749668716
"3151",53,"2011","53893",97461.7713066832,481690.851899828,1054824.70748317,931809.585508333,2576372.1671415,476353.859970217
"3152",53,"2011","5449",214012.108761463,1081353.68163559,2473842.6493927,1731356.50554172,4819659.98586201,666873.6183587
"3153",53,"2011","54520",25216.1121765874,139839.528972402,260950.454639865,192044.089927906,506696.729076269,84601.1625320997
"3154",53,"2011","55004",93883.1547740981,434618.011210862,916367.989410985,1414443.01316128,4101432.00851143,1038318.57880405
"3155",53,"2011","55351",285149.340205384,1420275.35488545,3239146.11240918,2198118.94037541,6369996.16124516,1574101.82713264
"3156",53,"2011","56066",118833.435943249,557538.229518995,1211657.51483118,1530965.77054279,4333684.08581842,763563.724028687
"3157",53,"2011","56127",69705.5663865938,331993.78055551,691931.309016302,955165.067704791,2689727.99067024,557905.355598028
"3158",53,"2011","57658",116211.10508555,604004.262984294,1363364.60425435,839915.502644411,2252588.24556994,301743.860053812
"3159",53,"2011","62621",150034.049545231,775303.897620745,1760818.37576408,1133860.24157326,3078701.44016031,368969.798001981
"3160",53,"2011","6379",413786.533070179,2059990.62070016,4695709.06393501,3050805.08188921,9132917.77292211,2548039.12228268
"3161",53,"2011","6472",220202.590522514,1109995.30121515,2545035.11060744,1757934.75009916,4876339.40463375,627477.97619332
"3162",53,"2011","65392",43993.6087618706,253742.753386795,541999.280121748,204243.2267768,544086.331247499,143489.8826687
"3163",53,"2011","65565",33280.3097536784,179425.645744796,351336.504491691,251108.940382656,683200.024028469,166387.399405714
"3164",53,"2011","68935",224391.005287825,1104076.23413524,2511754.93242846,2094532.99960368,5873414.06040556,632722.864404839
"3165",53,"2011","69914",209446.198350343,1048784.29736155,2380328.37185043,1583996.82979215,4543207.89454281,1274369.07971094
"3166",53,"2011","71381",309195.784139791,1617015.96517967,3761195.1760427,1878877.77134807,5251632.08105271,932113.345569629
"3167",53,"2011","71861",127389.836929348,596321.464296426,1305476.04025679,1879470.43352906,5214724.68890828,367870.558827327
"3168",53,"2011","72817",320424.248249727,1582908.04378881,3617885.77956846,2825649.14806603,8171863.98739123,1002312.67919376
"3169",53,"2011","73311",94264.2798770228,454457.096905126,977667.827206311,1089819.7629669,3094904.71538244,725334.904336556
"3170",53,"2011","741",310663.743861796,1561173.24379121,3584041.44111624,2355083.90667679,6716196.4758277,1085639.00470172
"3171",53,"2011","74173",91433.1580040519,441214.369772639,945211.901425734,918321.126251283,2658281.75537572,883263.287034033
"3172",53,"2011","74325",37560.8798686643,185905.387435304,355771.981800701,583664.646097647,1661663.75150012,431843.001001984
"3173",53,"2011","75414",57759.4672797024,299684.07877332,632747.119682421,467797.282786952,1297382.51157667,334152.035585089
"3174",53,"2011","75587",71913.7485600375,359101.542126784,763019.840030839,643237.612401321,1822503.44392378,546908.975939664
"3175",53,"2011","76110",199002.144052285,987014.068421472,2224244.99416798,1579191.91228478,4559643.93320197,1380247.80677338
"3176",53,"2011","76419",244733.233731107,1201742.37218962,2717399.22413835,2086871.94812811,6056044.41335013,1505604.64130299
"3177",53,"2011","77081",426760.09219589,2125991.16546221,4865264.85315304,3397500.71602373,10052365.9790109,1436064.55155124
"3178",53,"2011","78635",366618.904316034,1891926.66061676,4395306.48410843,2378778.41651249,6659648.48014324,686378.905181201
"3179",53,"2011","79067",282625.457690219,1447716.84237568,3341521.76302494,1920053.49236993,5376855.95215718,754640.204487136
"3180",53,"2011","7944",50942.8159643995,257975.95584422,527923.678225443,513196.374885982,1428047.42193205,344202.034991183
"3181",53,"2011","79963",73710.5838479542,368199.05609838,787314.797083037,712346.316615657,1979232.95020516,434676.982105984
"3182",53,"2011","80345",59063.3647234903,296819.572336431,622469.259505271,548955.845064976,1523590.38582712,361505.248403437
"3183",53,"2011","80697",68147.2639310087,341230.930331158,724879.469193671,617252.827616422,1733713.82986178,469677.617794071
"3184",53,"2011","80960",93521.9988228757,561591.92949456,1308947.34670707,253895.0693267,695807.389059625,408818.094166293
"3185",53,"2011","82925",165933.913842341,835723.853951063,1901637.46513702,1367492.81187155,3749372.27493991,483146.726271629
"3186",53,"2011","84682",307639.061476013,1536417.74898958,3504229.30640811,2331048.78617832,6805519.70070883,1784152.59883036
"3187",53,"2011","84746",266086.554738787,1329823.46475459,3054339.89866989,2257154.78947611,6290571.28549879,456911.363431152
