"","day","v1","v2","v3","v4","v5","v6"
"158",2010-06-07,65163,321560,515830,227882,779193,196537
"159",2010-06-08,65168,321583,515868,227898,779250,196551
"160",2010-06-09,65172,321607,515905,227915,779307,196566
"161",2010-06-10,65177,321630,515943,227932,779364,196580
"162",2010-06-11,65182,321654,515981,227948,779421,196594
"163",2010-06-12,65187,321678,516019,227965,779478,196609
"164",2010-06-13,65191,321701,516056,227982,779535,196623
"165",2010-06-14,65196,321725,516094,227998,779591,196637
"166",2010-06-15,65201,321748,516132,228015,779648,196652
"167",2010-06-16,65206,321772,516169,228032,779705,196666
"168",2010-06-17,65210,321795,516207,228048,779762,196681
"169",2010-06-18,65215,321819,516245,228065,779819,196695
"170",2010-06-19,65220,321842,516283,228082,779876,196709
"171",2010-06-20,65225,321866,516320,228098,779933,196724
"172",2010-06-21,65229,321889,516358,228115,779990,196738
"173",2010-06-22,65234,321913,516396,228132,780047,196752
"174",2010-06-23,65239,321936,516433,228148,780104,196767
"175",2010-06-24,65244,321960,516471,228165,780161,196781
"176",2010-06-25,65249,321983,516509,228182,780218,196796
"177",2010-06-26,65253,322007,516547,228198,780275,196810
"178",2010-06-27,65258,322030,516584,228215,780332,196824
"179",2010-06-28,65263,322054,516622,228232,780389,196839
"180",2010-06-29,65268,322077,516660,228248,780446,196853
"181",2010-06-30,65272,322101,516697,228265,780503,196867
"182",2010-07-01,65277,322124,516735,228282,780560,196882
"183",2010-07-02,65282,322148,516773,228298,780617,196896
"184",2010-07-03,65287,322171,516811,228315,780674,196911
"185",2010-07-04,65291,322195,516848,228332,780731,196925
"186",2010-07-05,65296,322218,516886,228348,780788,196939
"187",2010-07-06,65301,322242,516924,228365,780845,196954
"188",2010-07-07,65306,322265,516961,228382,780902,196968
"189",2010-07-08,65310,322289,516999,228398,780959,196982
"190",2010-07-09,65315,322312,517037,228415,781016,196997
"191",2010-07-10,65320,322336,517075,228432,781073,197011
"192",2010-07-11,65325,322359,517112,228448,781130,197026
"193",2010-07-12,65330,322383,517150,228465,781187,197040
"194",2010-07-13,65334,322406,517188,228482,781244,197054
"195",2010-07-14,65339,322430,517225,228498,781301,197069
"196",2010-07-15,65344,322453,517263,228515,781358,197083
"197",2010-07-16,65349,322477,517301,228532,781415,197097
"198",2010-07-17,65353,322500,517339,228548,781472,197112
"199",2010-07-18,65358,322524,517376,228565,781529,197126
"200",2010-07-19,65363,322547,517414,228582,781586,197141
"201",2010-07-20,65368,322571,517452,228598,781642,197155
"202",2010-07-21,65372,322594,517489,228615,781699,197169
"203",2010-07-22,65377,322618,517527,228632,781756,197184
"204",2010-07-23,65382,322642,517565,228648,781813,197198
"205",2010-07-24,65387,322665,517603,228665,781870,197212
"206",2010-07-25,65391,322689,517640,228682,781927,197227
"207",2010-07-26,65396,322712,517678,228698,781984,197241
"208",2010-07-27,65401,322736,517716,228715,782041,197256
"209",2010-07-28,65406,322759,517753,228732,782098,197270
